,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
group1,0,0,1,0,0,1,0,1,0,0,0
group2,0,0,0,1,0,0,1,0,0,0,1
group3,0,0,0,0,0,0,0,0,0,0,0
group4,1,1,1,0,1,0,0,1,0,1,0
group5,0,0,0,0,0,0,0,0,0,0,0
group6,0,0,0,0,1,0,1,1,0,0,0
group7,0,0,0,0,0,0,0,0,0,0,0
group8,1,0,1,0,1,0,0,1,0,0,1
group9,0,0,0,0,0,0,0,0,0,1,0
group10,0,0,0,1,0,0,0,1,0,0,0
group11,1,0,0,0,0,0,0,1,0,0,0
group12,0,1,0,1,0,1,0,1,0,0,0
group13,0,0,0,0,0,0,0,0,0,0,0
group14,1,0,0,1,0,1,0,0,1,1,1
group15,0,0,0,0,0,0,0,0,0,0,0
group16,0,1,0,1,1,0,0,0,0,0,0
group17,0,0,0,0,0,0,0,0,0,0,0
group18,0,0,0,1,0,0,0,1,0,1,0
group19,0,0,0,0,0,0,0,0,0,0,0
group20,1,0,1,0,0,0,1,0,0,0,0
group21,0,0,0,0,0,0,0,0,0,0,0
group22,1,1,1,0,0,0,1,0,0,0,0
group23,0,1,1,0,0,1,1,0,0,0,0
group24,1,1,1
